analysis_frame,category,location,metric,baseline_year,comparison_year,baseline_value,comparison_value,percent_change,ci_low,ci_high,uncertainty_status,coverage_status,interpretation,limitation,source_file,source_key,borough_neighborhood,ci_unit,persistence_result,full_vs_jan_aug,map_priority,weather_adjusted_result,q_value_bh,reference_period,unit,raw_pearson_r
full_year_2024_2025,rush-hour traffic,Bronx - Whitestone Bridge,AM rush vehicles per complete window,2024.0,2025.0,21731.33583333333,22759.029999999995,4.729088789333891,3.1062904219200638,6.358182219796767,increase; interval excludes zero,complete peak window across every supplied direction; no full-day requirement,Independent complete-window comparison,Weekdays 7–9 and 16–18; other hours include weekends; no causal attribution,full_year_2024_2025_bridge_peak_changes.csv,Bronx - Whitestone Bridge|AM rush,,percent,,,detail,,,,,
full_year_2024_2025,rush-hour traffic,Bronx - Whitestone Bridge,Other hours vehicles per complete window,2024.0,2025.0,103647.02400793652,105489.93988095237,1.7780692602179737,0.9262792786952556,2.5159434413605157,increase; interval excludes zero,complete peak window across every supplied direction; no full-day requirement,Independent complete-window comparison,Weekdays 7–9 and 16–18; other hours include weekends; no causal attribution,full_year_2024_2025_bridge_peak_changes.csv,Bronx - Whitestone Bridge|Other hours,,percent,,,detail,,,,,
full_year_2024_2025,rush-hour traffic,Bronx - Whitestone Bridge,PM rush vehicles per complete window,2024.0,2025.0,23918.8675,23939.124999999996,0.08469255494640837,-0.6944094036023082,0.8574744664232214,uncertain; interval includes zero,complete peak window across every supplied direction; no full-day requirement,Independent complete-window comparison,Weekdays 7–9 and 16–18; other hours include weekends; no causal attribution,full_year_2024_2025_bridge_peak_changes.csv,Bronx - Whitestone Bridge|PM rush,,percent,,,detail,,,,,
full_year_2024_2025,rush-hour traffic,Cross Bay Bridge,AM rush vehicles per complete window,2024.0,2025.0,3957.754166666666,4034.9283333333337,1.9499484661440247,-0.489833904620562,4.842396022448707,uncertain; interval includes zero,complete peak window across every supplied direction; no full-day requirement,Independent complete-window comparison,Weekdays 7–9 and 16–18; other hours include weekends; no causal attribution,full_year_2024_2025_bridge_peak_changes.csv,Cross Bay Bridge|AM rush,,percent,,,detail,,,,,
full_year_2024_2025,rush-hour traffic,Cross Bay Bridge,Other hours vehicles per complete window,2024.0,2025.0,15241.972420634924,15320.50873015873,0.5152634275698009,-0.9708046378965733,2.1169232914856457,uncertain; interval includes zero,complete peak window across every supplied direction; no full-day requirement,Independent complete-window comparison,Weekdays 7–9 and 16–18; other hours include weekends; no causal attribution,full_year_2024_2025_bridge_peak_changes.csv,Cross Bay Bridge|Other hours,,percent,,,detail,,,,,
full_year_2024_2025,rush-hour traffic,Cross Bay Bridge,PM rush vehicles per complete window,2024.0,2025.0,4451.978888888888,4523.143333333334,1.5984901595570644,-0.45713723481639795,3.5078175053256015,uncertain; interval includes zero,complete peak window across every supplied direction; no full-day requirement,Independent complete-window comparison,Weekdays 7–9 and 16–18; other hours include weekends; no causal attribution,full_year_2024_2025_bridge_peak_changes.csv,Cross Bay Bridge|PM rush,,percent,,,detail,,,,,
full_year_2024_2025,rush-hour traffic,Henry Hudson Bridge,AM rush vehicles per complete window,2024.0,2025.0,12803.814444444442,13318.585833333334,4.020453366631305,0.407898182412102,7.333610519494236,increase; interval excludes zero,complete peak window across every supplied direction; no full-day requirement,Independent complete-window comparison,Weekdays 7–9 and 16–18; other hours include weekends; no causal attribution,full_year_2024_2025_bridge_peak_changes.csv,Henry Hudson Bridge|AM rush,,percent,,,detail,,,,,
full_year_2024_2025,rush-hour traffic,Henry Hudson Bridge,Other hours vehicles per complete window,2024.0,2025.0,48037.39484126984,48024.18988095238,-0.027488918500040427,-1.5498008416050604,1.2396169981797975,uncertain; interval includes zero,complete peak window across every supplied direction; no full-day requirement,Independent complete-window comparison,Weekdays 7–9 and 16–18; other hours include weekends; no causal attribution,full_year_2024_2025_bridge_peak_changes.csv,Henry Hudson Bridge|Other hours,,percent,,,detail,,,,,
full_year_2024_2025,rush-hour traffic,Henry Hudson Bridge,PM rush vehicles per complete window,2024.0,2025.0,16609.750277777777,16578.846666666665,-0.18605704838596804,-2.0356329489229625,1.407714758922113,uncertain; interval includes zero,complete peak window across every supplied direction; no full-day requirement,Independent complete-window comparison,Weekdays 7–9 and 16–18; other hours include weekends; no causal attribution,full_year_2024_2025_bridge_peak_changes.csv,Henry Hudson Bridge|PM rush,,percent,,,detail,,,,,
full_year_2024_2025,rush-hour traffic,Hugh L. Carey Tunnel,AM rush vehicles per complete window,2024.0,2025.0,11861.374444444442,11829.913333333334,-0.2652400129383281,-2.8199539099499056,2.6968810367317033,uncertain; interval includes zero,complete peak window across every supplied direction; no full-day requirement,Independent complete-window comparison,Weekdays 7–9 and 16–18; other hours include weekends; no causal attribution,full_year_2024_2025_bridge_peak_changes.csv,Hugh L. Carey Tunnel|AM rush,,percent,,,detail,,,,,
full_year_2024_2025,rush-hour traffic,Hugh L. Carey Tunnel,Other hours vehicles per complete window,2024.0,2025.0,55642.14444444444,52275.23055555556,-6.051013889751422,-8.232937019578383,-3.303786682613724,decrease; interval excludes zero,complete peak window across every supplied direction; no full-day requirement,Independent complete-window comparison,Weekdays 7–9 and 16–18; other hours include weekends; no causal attribution,full_year_2024_2025_bridge_peak_changes.csv,Hugh L. Carey Tunnel|Other hours,,percent,,,detail,,,,,
full_year_2024_2025,rush-hour traffic,Hugh L. Carey Tunnel,PM rush vehicles per complete window,2024.0,2025.0,11789.932777777776,11702.238333333335,-0.7438078409550575,-1.544109748298304,0.4504645342984232,uncertain; interval includes zero,complete peak window across every supplied direction; no full-day requirement,Independent complete-window comparison,Weekdays 7–9 and 16–18; other hours include weekends; no causal attribution,full_year_2024_2025_bridge_peak_changes.csv,Hugh L. Carey Tunnel|PM rush,,percent,,,detail,,,,,
full_year_2024_2025,rush-hour traffic,Marine Parkway Bridge,AM rush vehicles per complete window,2024.0,2025.0,4185.873055555556,4270.965,2.0328362402559863,-0.5687712821889354,5.057867475958775,uncertain; interval includes zero,complete peak window across every supplied direction; no full-day requirement,Independent complete-window comparison,Weekdays 7–9 and 16–18; other hours include weekends; no causal attribution,full_year_2024_2025_bridge_peak_changes.csv,Marine Parkway Bridge|AM rush,,percent,,,detail,,,,,
full_year_2024_2025,rush-hour traffic,Marine Parkway Bridge,Other hours vehicles per complete window,2024.0,2025.0,15378.821428571431,15628.12142857143,1.621060502964422,0.1335180893372218,3.549167637582464,increase; interval excludes zero,complete peak window across every supplied direction; no full-day requirement,Independent complete-window comparison,Weekdays 7–9 and 16–18; other hours include weekends; no causal attribution,full_year_2024_2025_bridge_peak_changes.csv,Marine Parkway Bridge|Other hours,,percent,,,detail,,,,,
full_year_2024_2025,rush-hour traffic,Marine Parkway Bridge,PM rush vehicles per complete window,2024.0,2025.0,4899.005833333333,4949.3375,1.0273853181436365,-1.298907432780944,3.3432899591248693,uncertain; interval includes zero,complete peak window across every supplied direction; no full-day requirement,Independent complete-window comparison,Weekdays 7–9 and 16–18; other hours include weekends; no causal attribution,full_year_2024_2025_bridge_peak_changes.csv,Marine Parkway Bridge|PM rush,,percent,,,detail,,,,,
full_year_2024_2025,rush-hour traffic,Queens Midtown Tunnel,AM rush vehicles per complete window,2024.0,2025.0,13321.216666666667,13228.504166666668,-0.695976218388461,-3.1499166030538843,1.5340696590437775,uncertain; interval includes zero,complete peak window across every supplied direction; no full-day requirement,Independent complete-window comparison,Weekdays 7–9 and 16–18; other hours include weekends; no causal attribution,full_year_2024_2025_bridge_peak_changes.csv,Queens Midtown Tunnel|AM rush,,percent,,,detail,,,,,
full_year_2024_2025,rush-hour traffic,Queens Midtown Tunnel,Other hours vehicles per complete window,2024.0,2025.0,63257.89801587302,62595.92301587301,-1.0464701179825786,-2.655771409160726,0.45948924933476093,uncertain; interval includes zero,complete peak window across every supplied direction; no full-day requirement,Independent complete-window comparison,Weekdays 7–9 and 16–18; other hours include weekends; no causal attribution,full_year_2024_2025_bridge_peak_changes.csv,Queens Midtown Tunnel|Other hours,,percent,,,detail,,,,,
full_year_2024_2025,rush-hour traffic,Queens Midtown Tunnel,PM rush vehicles per complete window,2024.0,2025.0,14609.010833333334,14347.966666666667,-1.7868709226434576,-3.337634103312613,-0.34528132916631055,decrease; interval excludes zero,complete peak window across every supplied direction; no full-day requirement,Independent complete-window comparison,Weekdays 7–9 and 16–18; other hours include weekends; no causal attribution,full_year_2024_2025_bridge_peak_changes.csv,Queens Midtown Tunnel|PM rush,,percent,,,detail,,,,,
full_year_2024_2025,rush-hour traffic,Robert F. Kennedy Bridge Bronx,AM rush vehicles per complete window,2024.0,2025.0,26662.76361111111,26769.84833333333,0.4016264922275248,-1.576622911756853,2.3988911155352763,uncertain; interval includes zero,complete peak window across every supplied direction; no full-day requirement,Independent complete-window comparison,Weekdays 7–9 and 16–18; other hours include weekends; no causal attribution,full_year_2024_2025_bridge_peak_changes.csv,Robert F. Kennedy Bridge Bronx|AM rush,,percent,,,detail,,,,,
full_year_2024_2025,rush-hour traffic,Robert F. Kennedy Bridge Bronx,Other hours vehicles per complete window,2024.0,2025.0,107813.87797619047,108279.35218253967,0.43173867324575177,-0.39596198199161575,1.2866625556330853,uncertain; interval includes zero,complete peak window across every supplied direction; no full-day requirement,Independent complete-window comparison,Weekdays 7–9 and 16–18; other hours include weekends; no causal attribution,full_year_2024_2025_bridge_peak_changes.csv,Robert F. Kennedy Bridge Bronx|Other hours,,percent,,,detail,,,,,
full_year_2024_2025,rush-hour traffic,Robert F. Kennedy Bridge Bronx,PM rush vehicles per complete window,2024.0,2025.0,23361.094444444447,23267.9575,-0.39868399430488255,-1.1321190658066473,0.37828925525931995,uncertain; interval includes zero,complete peak window across every supplied direction; no full-day requirement,Independent complete-window comparison,Weekdays 7–9 and 16–18; other hours include weekends; no causal attribution,full_year_2024_2025_bridge_peak_changes.csv,Robert F. Kennedy Bridge Bronx|PM rush,,percent,,,detail,,,,,
full_year_2024_2025,rush-hour traffic,Robert F. Kennedy Bridge Manhattan,AM rush vehicles per complete window,2024.0,2025.0,7069.0808333333325,7236.935833333334,2.3744954111785344,0.2474539876107091,4.811252225877223,increase; interval excludes zero,complete peak window across every supplied direction; no full-day requirement,Independent complete-window comparison,Weekdays 7–9 and 16–18; other hours include weekends; no causal attribution,full_year_2024_2025_bridge_peak_changes.csv,Robert F. Kennedy Bridge Manhattan|AM rush,,percent,,,detail,,,,,
full_year_2024_2025,rush-hour traffic,Robert F. Kennedy Bridge Manhattan,Other hours vehicles per complete window,2024.0,2025.0,35299.12222222222,36025.40496031746,2.057509344065256,1.0675947898591398,3.117697408627134,increase; interval excludes zero,complete peak window across every supplied direction; no full-day requirement,Independent complete-window comparison,Weekdays 7–9 and 16–18; other hours include weekends; no causal attribution,full_year_2024_2025_bridge_peak_changes.csv,Robert F. Kennedy Bridge Manhattan|Other hours,,percent,,,detail,,,,,
full_year_2024_2025,rush-hour traffic,Robert F. Kennedy Bridge Manhattan,PM rush vehicles per complete window,2024.0,2025.0,8989.852222222222,9150.765833333333,1.7899472330962896,0.576351135427623,2.8584082315370636,increase; interval excludes zero,complete peak window across every supplied direction; no full-day requirement,Independent complete-window comparison,Weekdays 7–9 and 16–18; other hours include weekends; no causal attribution,full_year_2024_2025_bridge_peak_changes.csv,Robert F. Kennedy Bridge Manhattan|PM rush,,percent,,,detail,,,,,
full_year_2024_2025,rush-hour traffic,Throgs Neck Bridge,AM rush vehicles per complete window,2024.0,2025.0,20392.682222222225,20210.766666666666,-0.8920629153791437,-2.930774831210647,1.2394638707128809,uncertain; interval includes zero,complete peak window across every supplied direction; no full-day requirement,Independent complete-window comparison,Weekdays 7–9 and 16–18; other hours include weekends; no causal attribution,full_year_2024_2025_bridge_peak_changes.csv,Throgs Neck Bridge|AM rush,,percent,,,detail,,,,,
full_year_2024_2025,rush-hour traffic,Throgs Neck Bridge,Other hours vehicles per complete window,2024.0,2025.0,93270.42222222223,93536.2748015873,0.2850341759273345,-0.6498696946578381,1.077858949755371,uncertain; interval includes zero,complete peak window across every supplied direction; no full-day requirement,Independent complete-window comparison,Weekdays 7–9 and 16–18; other hours include weekends; no causal attribution,full_year_2024_2025_bridge_peak_changes.csv,Throgs Neck Bridge|Other hours,,percent,,,detail,,,,,
full_year_2024_2025,rush-hour traffic,Throgs Neck Bridge,PM rush vehicles per complete window,2024.0,2025.0,21804.74805555556,22312.614999999998,2.3291575905874273,1.3682239097171167,3.43512235199248,increase; interval excludes zero,complete peak window across every supplied direction; no full-day requirement,Independent complete-window comparison,Weekdays 7–9 and 16–18; other hours include weekends; no causal attribution,full_year_2024_2025_bridge_peak_changes.csv,Throgs Neck Bridge|PM rush,,percent,,,detail,,,,,
full_year_2024_2025,rush-hour traffic,Verrazzano - Narrows Bridge,AM rush vehicles per complete window,2024.0,2025.0,36930.689722222225,37609.57666666667,1.838273126093104,0.2719240419030761,3.4015007504723185,increase; interval excludes zero,complete peak window across every supplied direction; no full-day requirement,Independent complete-window comparison,Weekdays 7–9 and 16–18; other hours include weekends; no causal attribution,full_year_2024_2025_bridge_peak_changes.csv,Verrazzano - Narrows Bridge|AM rush,,percent,,,detail,,,,,
full_year_2024_2025,rush-hour traffic,Verrazzano - Narrows Bridge,Other hours vehicles per complete window,2024.0,2025.0,165828.75932539682,166297.73888888888,0.2828095472702685,-0.45357175100193603,0.89399389082759,uncertain; interval includes zero,complete peak window across every supplied direction; no full-day requirement,Independent complete-window comparison,Weekdays 7–9 and 16–18; other hours include weekends; no causal attribution,full_year_2024_2025_bridge_peak_changes.csv,Verrazzano - Narrows Bridge|Other hours,,percent,,,detail,,,,,
full_year_2024_2025,rush-hour traffic,Verrazzano - Narrows Bridge,PM rush vehicles per complete window,2024.0,2025.0,41040.97583333333,41158.43083333334,0.2861895888562449,-0.40343895075557856,0.988801666264831,uncertain; interval includes zero,complete peak window across every supplied direction; no full-day requirement,Independent complete-window comparison,Weekdays 7–9 and 16–18; other hours include weekends; no causal attribution,full_year_2024_2025_bridge_peak_changes.csv,Verrazzano - Narrows Bridge|PM rush,,percent,,,detail,,,,,
full_year_2024_2025,air-quality monitor,Mott Haven,PM2.5 ug/m3,2024.0,2025.0,7.337401160902055,7.422755774591796,1.1632812738188392,-0.6750647617569676,0.8316885098766239,uncertain; interval includes zero,partial matched months; not complete-year estimate,"Equal-weight eligible common months: 4,5,6,7,8,9,10,11,12","partial or absent baseline/coverage; not complete-year estimate; regional weather proxy, unmeasured smoke and sources; no causal policy attribution",full_year_2024_2025_observed_matched_changes.csv,36005NY11534,Hunts Point - Mott Haven,ug/m3,inconclusive,inconclusive,high,-0.3573366646536063,,,,
full_year_2024_2025,weather-adjusted air quality,Mott Haven,weather-adjusted year association ug/m3,2024.0,2025.0,,-0.3573366646536063,,-1.2255919698777265,0.510918640570514,uncertain after BH adjustment,"4,5,6,7,8,9,10,11,12",Calendar/weather-adjusted association; retain BH-adjusted evidence,"partial or absent baseline/coverage; not complete-year estimate; regional weather proxy, unmeasured smoke and sources; no causal policy attribution",full_year_2024_2025_weather_adjusted_changes.csv,36005NY11534,,ug/m3,inconclusive,inconclusive,detail,-0.3573366646536063,0.4548651882234149,,,
full_year_2024_2025,air-quality monitor,Hunt's Point,PM2.5 ug/m3,2024.0,2025.0,,,,,,not estimated,no eligible baseline,Equal-weight eligible common months: nan,"partial or absent baseline/coverage; not complete-year estimate; regional weather proxy, unmeasured smoke and sources; no causal policy attribution",full_year_2024_2025_observed_matched_changes.csv,36005NY11790,Hunts Point - Mott Haven,ug/m3,inconclusive,inconclusive,high,,,,,
full_year_2024_2025,weather-adjusted air quality,Hunt's Point,weather-adjusted year association ug/m3,2024.0,2025.0,,,,,,not estimated,nan,Calendar/weather-adjusted association; retain BH-adjusted evidence,"partial or absent baseline/coverage; not complete-year estimate; regional weather proxy, unmeasured smoke and sources; no causal policy attribution",full_year_2024_2025_weather_adjusted_changes.csv,36005NY11790,,ug/m3,inconclusive,inconclusive,detail,,,,,
full_year_2024_2025,air-quality monitor,Cross Bronx Expy,PM2.5 ug/m3,2024.0,2025.0,9.24002207454213,9.045447314386905,-2.1057824168116746,-1.307183516569343,0.7827148739468626,uncertain; interval includes zero,partial matched months; not complete-year estimate,"Equal-weight eligible common months: 1,2,3,4,5,6,7,8,12","partial or absent baseline/coverage; not complete-year estimate; regional weather proxy, unmeasured smoke and sources; no causal policy attribution",full_year_2024_2025_observed_matched_changes.csv,36005NY12387,Crotona - Tremont,ug/m3,inconclusive,inconclusive,high,-0.6476467217856874,,,,
full_year_2024_2025,weather-adjusted air quality,Cross Bronx Expy,weather-adjusted year association ug/m3,2024.0,2025.0,,-0.6476467217856874,,-1.7064781612208035,0.41118471764942877,uncertain after BH adjustment,"1,2,3,4,5,6,7,8,12",Calendar/weather-adjusted association; retain BH-adjusted evidence,"partial or absent baseline/coverage; not complete-year estimate; regional weather proxy, unmeasured smoke and sources; no causal policy attribution",full_year_2024_2025_weather_adjusted_changes.csv,36005NY12387,,ug/m3,inconclusive,inconclusive,detail,-0.6476467217856874,0.3017618515020244,,,
full_year_2024_2025,air-quality monitor,BQE,PM2.5 ug/m3,2024.0,2025.0,6.089287624448189,6.068388261648745,-0.3432152344969519,-0.863335546405531,1.1458234532570952,uncertain; interval includes zero,partial matched months; not complete-year estimate,"Equal-weight eligible common months: 8,9,10,11,12","partial or absent baseline/coverage; not complete-year estimate; regional weather proxy, unmeasured smoke and sources; no causal policy attribution",full_year_2024_2025_observed_matched_changes.csv,36047NY07974,Greenpoint,ug/m3,inconclusive,inconclusive,monitor,-0.3296855481069376,,,,
full_year_2024_2025,weather-adjusted air quality,BQE,weather-adjusted year association ug/m3,2024.0,2025.0,,-0.3296855481069376,,-1.072797453611929,0.41342635739805367,uncertain after BH adjustment,"8,9,10,11,12",Calendar/weather-adjusted association; retain BH-adjusted evidence,"partial or absent baseline/coverage; not complete-year estimate; regional weather proxy, unmeasured smoke and sources; no causal policy attribution",full_year_2024_2025_weather_adjusted_changes.csv,36047NY07974,,ug/m3,inconclusive,inconclusive,detail,-0.3296855481069376,0.4544649004652694,,,
full_year_2024_2025,air-quality monitor,Manhattan Bridge,PM2.5 ug/m3,2024.0,2025.0,9.425178261798285,7.999309626182347,-15.128293555944783,-2.5811264589718927,-0.5253954055725174,decrease; interval excludes zero,partial matched months; not complete-year estimate,"Equal-weight eligible common months: 1,3,4,5,6,7,8,9,10,11,12","partial or absent baseline/coverage; not complete-year estimate; regional weather proxy, unmeasured smoke and sources; no causal policy attribution",full_year_2024_2025_observed_matched_changes.csv,36061NY08454,Greenwich Village - Soho,ug/m3,inconclusive,weakened,monitor,-1.9703373009348377,,,,
full_year_2024_2025,weather-adjusted air quality,Manhattan Bridge,weather-adjusted year association ug/m3,2024.0,2025.0,,-1.9703373009348377,,-2.9084280896933823,-1.0322465121762932,adjusted decrease,"1,3,4,5,6,7,8,9,10,11,12",Calendar/weather-adjusted association; retain BH-adjusted evidence,"partial or absent baseline/coverage; not complete-year estimate; regional weather proxy, unmeasured smoke and sources; no causal policy attribution",full_year_2024_2025_weather_adjusted_changes.csv,36061NY08454,,ug/m3,weakened,weakened,detail,-1.9703373009348377,0.0002498739620116708,,,
full_year_2024_2025,air-quality monitor,Williamsburg Bridge,PM2.5 ug/m3,2024.0,2025.0,8.638470312411195,7.01343432048301,-18.811617487339618,-2.406306790220935,-0.7093802457310526,decrease; interval excludes zero,partial matched months; not complete-year estimate,"Equal-weight eligible common months: 3,4,5,6,8,9,10,11","partial or absent baseline/coverage; not complete-year estimate; regional weather proxy, unmeasured smoke and sources; no causal policy attribution",full_year_2024_2025_observed_matched_changes.csv,36061NY08552,Union Square - Lower East Side,ug/m3,strengthened,weakened,monitor,-2.5457441518557093,,,,
full_year_2024_2025,weather-adjusted air quality,Williamsburg Bridge,weather-adjusted year association ug/m3,2024.0,2025.0,,-2.5457441518557093,,-3.4203889880192793,-1.6710993156921394,adjusted decrease,"3,4,5,6,8,9,10,11",Calendar/weather-adjusted association; retain BH-adjusted evidence,"partial or absent baseline/coverage; not complete-year estimate; regional weather proxy, unmeasured smoke and sources; no causal policy attribution",full_year_2024_2025_weather_adjusted_changes.csv,36061NY08552,,ug/m3,strengthened,weakened,detail,-2.5457441518557093,1.5153250528881088e-07,,,
full_year_2024_2025,air-quality monitor,FDR,PM2.5 ug/m3,2024.0,2025.0,7.582972971697477,6.850611067172372,-9.65797856933628,-1.4801134375516867,0.04378168087119141,uncertain; interval includes zero,partial matched months; not complete-year estimate,"Equal-weight eligible common months: 3,4,5,6,8,9,10,11,12","partial or absent baseline/coverage; not complete-year estimate; regional weather proxy, unmeasured smoke and sources; no causal policy attribution",full_year_2024_2025_observed_matched_changes.csv,36061NY08653,Union Square - Lower East Side,ug/m3,inconclusive,inconclusive,monitor,-1.1139099187534514,,,,
full_year_2024_2025,weather-adjusted air quality,FDR,weather-adjusted year association ug/m3,2024.0,2025.0,,-1.1139099187534514,,-1.9150153837345287,-0.312804453772374,adjusted decrease,"3,4,5,6,8,9,10,11,12",Calendar/weather-adjusted association; retain BH-adjusted evidence,"partial or absent baseline/coverage; not complete-year estimate; regional weather proxy, unmeasured smoke and sources; no causal policy attribution",full_year_2024_2025_weather_adjusted_changes.csv,36061NY08653,,ug/m3,inconclusive,weakened,detail,-1.1139099187534514,0.013920882485546966,,,
